user_type,avg_monthly_income,income_volatility,upi_success_rate,bill_payment_delay_days,monthly_repayment_cap,essential_spend_ratio,account_age_months,loan_default_history,savings_consistency,trust_score_target,user_type_encoded
salaried,65000.0,0.12,0.97,1.0,18000.0,0.5,48.0,0,0.82,78.5,2
gig_worker,25000.0,0.45,0.88,8.0,6000.0,0.68,12.0,0,0.35,58.2,0
student,10000.0,0.72,0.75,15.0,2500.0,0.85,6.0,0,0.15,32.1,1
salaried,95000.0,0.08,0.99,0.0,25000.0,0.42,72.0,0,0.88,89.3,2
gig_worker,35000.0,0.38,0.92,5.0,9000.0,0.62,24.0,0,0.48,67.8,0
student,8000.0,0.68,0.72,20.0,1800.0,0.92,4.0,1,0.1,18.5,1
salaried,120000.0,0.06,0.98,1.0,32000.0,0.38,84.0,0,0.9,94.2,2
gig_worker,28000.0,0.52,0.85,12.0,7000.0,0.75,8.0,0,0.28,45.3,0
student,12000.0,0.65,0.78,18.0,3000.0,0.88,8.0,0,0.22,38.7,1
salaried,75000.0,0.14,0.96,2.0,20000.0,0.48,60.0,0,0.8,81.2,2
gig_worker,21104.959055624637,0.4045980821176709,0.8286205753646987,2.755086958186593,6680.648928447154,0.7002787529358022,35.739048267433915,0,0.6982141063779957,100.0,0
salaried,74783.53277034075,0.13185086660174142,0.9104447400194775,0.9091248360355031,10907.262570247214,0.47606056073988445,49.188308718347415,0,0.6582582220983677,100.0,2
student,10715.861807471296,0.6599085529881076,0.7520274341035676,14.12139968434072,3175.0454549561173,0.7499184455395899,13.798923206685844,0,0.2679899920231348,72.80625327033583,1
student,9772.779488642482,0.6011572371061875,0.7696528288681437,6.30103185970559,3295.5902277489668,0.9414080082686398,19.976344310445683,0,0.31860729193820264,76.87328424305782,1
student,8935.343415973206,0.6985530730333811,0.7404340780899856,5.687770422304368,2924.8068585285087,0.7646949954000042,16.912967971433623,0,0.3868885625333146,77.15823850371223,1
student,11514.733840807437,0.6054563366576582,0.7683630990027025,24.391692555291172,3382.8354221499535,0.9348747353910473,21.791374358980626,0,0.5632884685123402,68.29239894016258,1
gig_worker,21927.31725707914,0.4449721611208636,0.8165083516637409,12.773587618975082,4148.392569940097,0.6202336274218452,28.793235492646435,0,0.6236757975536937,89.39840675931411,0
gig_worker,17333.6462917049,0.695410427810181,0.7413768716569457,12.039182000856547,2594.481463252595,0.5513805292809006,40.249379995103034,0,0.45145589372618755,81.56888074574532,0
salaried,66892.51164843139,0.11738035892876947,0.9147858923213691,4.315517129377968,17112.74546715761,0.4827245062131623,27.050800813729133,0,0.6771267812507624,100.0,2
salaried,60647.8390752256,0.19563362070328197,0.8913099137890154,4.436063712881633,13224.48760505796,0.42989856148457545,58.235749786703764,0,0.7010029868488797,100.0,2
salaried,120584.4438044001,0.16413115275378243,0.9007606541738652,0.12709563372047594,15310.951309252674,0.40785729642168356,54.54769974066146,0,0.7040925156971414,100.0,2
salaried,56194.137923989365,0.13739383437233124,0.9087818496883006,2.0519146151781484,16233.800014377754,0.45719954137290564,27.695035671782065,0,0.6159300855528026,100.0,2
salaried,77521.72497287208,0.23071908852815765,0.8807842734415526,4.018360384495573,11367.980695571163,0.6231397496224944,49.888427611951236,0,0.7803959368601534,100.0,2
gig_worker,39265.49322345622,0.3885181735846868,0.8334445479245939,4.963157113045241,8119.198817343033,0.7545036914806234,42.150684496766424,0,0.5701132866224576,95.83866530570442,0
student,10813.45064525912,0.6512845514210884,0.7546146345736734,23.858194078250385,1955.0798029782804,0.8296976554358415,17.763398136798735,0,0.5507638939636351,68.15616503971737,1
salaried,65662.94715295087,0.1377673443738046,0.9086697966878585,2.4862425294619275,11505.43385453702,0.4712101235943669,25.770573473017574,0,0.7181433003443756,100.0,2
gig_worker,33822.032795468214,0.43384666173344033,0.8198460014799679,3.8836333371859,7520.775107031866,0.7964126135276502,16.166321403483018,0,0.6181778875585511,89.14093005912231,0
gig_worker,27927.770842088874,0.6048757220141507,0.7685372833957548,6.781180725350292,7207.500168942425,0.7083824276902237,28.502536731139855,0,0.537665315468281,88.85890530369782,0
gig_worker,43652.8396294277,0.35580574012474964,0.843258277962575,8.657209757890652,6837.079900807393,0.7112931976023625,13.32339001820964,0,0.5525371598153114,95.61703925101386,0
salaried,83103.84123453069,0.120628141621899,0.9138115575134302,1.7053317552512925,10667.905496828334,0.6311734045696407,66.1122889622871,0,0.7756183288371143,100.0,2
salaried,90458.29786625659,0.13627784363506776,0.9091166469094796,0.46551383902949606,29335.98235743596,0.6251045142908327,54.38886994911686,0,0.6729961662027576,100.0,2
salaried,108087.44074403998,0.23456653899288657,0.879630038302134,4.4354321213255865,31882.432037056933,0.5605079115385719,28.038718319762346,0,0.7788263331623918,100.0,2
student,12524.499035974413,0.757568559307808,0.7227294322076576,18.03922519005201,1954.6650911317986,0.8780448053368839,7.982230837432802,0,0.4194062859507225,69.47892921368692,1
student,8349.435322922283,0.8047670231482533,0.708569893055524,18.15225784600687,2021.207514044682,0.7234186919570231,10.722031864248104,0,0.24033667912477308,68.04735062503403,1
salaried,83180.10322286343,0.19467079389958944,0.8915987618301231,3.974056517708242,18770.361644318815,0.5442259711565898,47.640849303305465,0,0.7499331582386979,100.0,2
gig_worker,28083.24393444952,0.35851058825100884,0.8424468235246974,10.391139846793182,4051.7849967410125,0.7851146460882286,46.065000234108666,0,0.545941257126028,91.91019846108568,0
gig_worker,29006.940888946723,0.6883291866652843,0.7435012440004147,14.527059702160287,9086.492802008257,0.6236122230173965,22.17410460128086,0,0.3320790895477127,78.92897023936368,0
gig_worker,35922.726543581906,0.5448804418604225,0.7865358674418732,14.170012064090152,9843.094667393181,0.6925152925223412,10.08141273837228,0,0.6200878899150255,81.92598034036767,0
gig_worker,38459.38807089901,0.6092690162139716,0.7672192951358086,11.061204632938484,10600.215807012464,0.6398727878049388,18.33085745910872,0,0.5274726086753713,82.22334008273434,0
salaried,70770.41289219454,0.2369860828834707,0.8789041751349588,2.556711994304689,15950.17010101361,0.5995737947416938,55.19826867733273,0,0.7465461511007478,100.0,2
salaried,52711.519425099774,0.11409729097613036,0.9157708127071609,2.89140070498087,5744.794908364784,0.5163995045331151,50.04694246596368,0,0.7587916035850251,100.0,2
gig_worker,17993.852854342607,0.363071866062225,0.8410784401813325,12.693807288575558,3419.6896357006476,0.5817651281629712,27.934216922301783,0,0.49690318861171795,84.96177415205602,0
student,19167.10787217739,0.7412289704494619,0.7276313088651614,19.52182667445323,6592.776305804493,0.8290750870752988,9.782085931766165,0,0.2865122931089451,68.84566338412705,1
student,17530.241274961598,0.5735369144026798,0.777938925679196,5.507014868309151,5971.888870561987,0.9089950301280514,17.61545832796766,0,0.35786614737964584,78.0389146248822,1
gig_worker,32542.136259496947,0.6001085729450217,0.7699674281164934,10.582565897330506,5531.625380466406,0.7887163201657985,36.99167050122227,0,0.4734510801032926,86.66276078292913,0
student,7163.31807847643,0.6243192968503473,0.7627042109448958,12.119453573025233,2073.504993795758,0.7035983721574389,5.437525450645241,0,0.2876270625854827,72.03514472717886,1
salaried,66439.12058189996,0.11467512409765022,0.9155974627707049,2.4580793755841617,14508.174075943922,0.44330046747750385,44.82487916342271,0,0.7659499549570747,100.0,2
student,17616.01704141691,0.5635912029316134,0.780922639120516,12.492252292529425,4517.891439332126,0.8257840646450219,20.98628666495477,0,0.3607256063654609,74.91818717196642,1
gig_worker,28380.33979334759,0.5550214534457121,0.7834935639662863,14.22299313852445,6921.072156938458,0.6470424815516305,33.018105174578835,0,0.4806721647273532,85.70698276077025,0
salaried,70913.44910675741,0.15791539567011614,0.9026253812989651,4.805952819119571,23141.72907870611,0.44894778369732413,27.329342442007942,0,0.5607173102933952,100.0,2
gig_worker,26108.537871581117,0.4616414706028164,0.811507558819155,12.983379042602909,2762.7528410340647,0.753617120647234,17.8379005404828,0,0.5820362672475554,84.60489435408529,0
student,12622.79478385716,0.8132416040581159,0.7060275187825652,19.701420876077716,3797.823202633357,0.7705086431428265,6.726230419374179,0,0.4041054593453097,69.15069161282955,1
salaried,43184.92582102327,0.21646194411129954,0.8850614167666101,1.7040177012650892,14367.164097993314,0.614603187960753,44.591713314000884,0,0.746485695758625,100.0,2
gig_worker,20235.439165745163,0.6658935173378483,0.7502319447986454,8.568280841822144,6204.476361199291,0.630012400257653,43.61197559684042,0,0.2537151850413805,88.5114332258686,0
salaried,65934.39306567186,0.24250929505762073,0.8772472114827138,4.7530357346877805,16045.759085134561,0.5579593030424499,45.52538505495935,0,0.6030937865764022,100.0,2
student,10160.715951274866,0.775712358831304,0.7172862923506088,20.83158087451697,3021.843009854651,0.7228015257621725,13.382826398754212,0,0.3494312493983383,64.68365041362375,1
student,11072.722472409234,0.5851201049282818,0.7744639685215154,7.859833641056717,3215.271218440075,0.8545545158290653,5.123576198578595,0,0.5092186764807669,77.7725166865091,1
gig_worker,36430.50441101007,0.6376510207516246,0.7587046937745126,11.18114895303445,4383.944719102263,0.5712094285212981,47.43886229704937,0,0.3786020316690925,86.75603590254032,0
salaried,60036.58835043366,0.11252510750480033,0.9162424677485599,3.885734579637184,14384.830353673686,0.5060555023117441,67.50501048454733,0,0.7302724667843775,100.0,2
